source,target,weight
72,31,138.0
72,1,2.0
72,11,16.0
72,29,12.0
72,20,6.0
72,32,14.0
72,0,38.0
72,10,2.0
72,34,6.0
72,28,4.0
72,30,20.0
72,46,16.0
72,62,24.0
72,6,10.0
72,74,2.0
72,37,2.0
72,63,12.0
31,72,138.0
31,20,6.0
31,0,360.0
31,29,28.0
31,62,202.0
31,11,20.0
31,28,6.0
31,6,16.0
31,30,10.0
31,32,34.0
31,46,16.0
31,34,6.0
31,35,2.0
31,74,6.0
31,69,2.0
31,1,2.0
31,73,2.0
31,17,2.0
31,4,30.0
31,10,4.0
31,77,16.0
31,63,16.0
1,72,2.0
1,31,2.0
1,0,6.0
11,72,16.0
11,31,20.0
11,0,10.0
11,62,8.0
29,72,12.0
29,31,28.0
29,20,12.0
29,0,26.0
29,62,6.0
29,6,4.0
20,72,6.0
20,31,6.0
20,29,12.0
20,0,292.0
20,30,4.0
20,17,10.0
20,32,6.0
20,62,8.0
20,34,42.0
20,46,290.0
20,19,20.0
20,6,30.0
20,10,14.0
20,47,34.0
20,4,6.0
20,77,2.0
20,63,2.0
32,72,14.0
32,31,34.0
32,20,6.0
32,0,44.0
32,62,24.0
32,6,2.0
32,34,2.0
32,73,2.0
0,72,38.0
0,31,360.0
0,1,6.0
0,11,10.0
0,29,26.0
0,20,292.0
0,32,44.0
0,30,34.0
0,17,144.0
0,10,206.0
0,37,42.0
0,62,348.0
0,25,2.0
0,63,174.0
0,6,76.0
0,46,454.0
0,69,16.0
0,34,98.0
0,4,592.0
0,77,800.0
0,8,30.0
0,3,130.0
0,19,30.0
0,47,32.0
0,79,202.0
0,78,34.0
10,72,2.0
10,31,4.0
10,20,14.0
10,0,206.0
10,17,10.0
10,46,24.0
10,6,8.0
10,19,10.0
10,63,62.0
10,3,16.0
10,77,64.0
10,4,364.0
10,79,14.0
10,78,18.0
10,8,10.0
34,72,6.0
34,31,6.0
34,20,42.0
34,32,2.0
34,0,98.0
34,17,2.0
34,46,122.0
34,6,8.0
34,47,10.0
28,72,4.0
28,31,6.0
28,77,4.0
30,72,20.0
30,31,10.0
30,20,4.0
30,0,34.0
30,6,2.0
30,62,2.0
46,72,16.0
46,31,16.0
46,20,290.0
46,0,454.0
46,10,24.0
46,34,122.0
46,17,10.0
46,62,2.0
46,63,8.0
46,6,22.0
46,4,58.0
46,5,4.0
46,19,70.0
46,47,60.0
46,77,50.0
46,79,18.0
46,8,6.0
46,3,10.0
46,78,10.0
62,72,24.0
62,31,202.0
62,11,8.0
62,29,6.0
62,20,8.0
62,32,24.0
62,0,348.0
62,30,2.0
62,46,2.0
62,17,2.0
62,25,4.0
62,6,44.0
62,63,2.0
62,69,2.0
62,61,2.0
6,72,10.0
6,31,16.0
6,29,4.0
6,20,30.0
6,32,2.0
6,0,76.0
6,10,8.0
6,34,8.0
6,30,2.0
6,46,22.0
6,62,44.0
6,47,2.0
6,4,16.0
6,77,4.0
74,72,2.0
74,31,6.0
37,72,2.0
37,0,42.0
63,72,12.0
63,31,16.0
63,20,2.0
63,0,174.0
63,10,62.0
63,46,8.0
63,62,2.0
63,17,18.0
63,77,64.0
63,3,34.0
63,4,274.0
63,78,4.0
63,79,26.0
63,8,66.0
35,31,2.0
69,31,2.0
69,0,16.0
69,62,2.0
69,4,2.0
73,31,2.0
73,32,2.0
17,31,2.0
17,20,10.0
17,0,144.0
17,10,10.0
17,34,2.0
17,46,10.0
17,62,2.0
17,63,18.0
17,77,26.0
17,3,6.0
17,8,6.0
17,79,20.0
17,4,16.0
4,31,30.0
4,20,6.0
4,0,592.0
4,10,364.0
4,46,58.0
4,6,16.0
4,17,16.0
4,69,2.0
4,63,274.0
4,79,214.0
4,77,270.0
4,8,154.0
4,3,146.0
4,78,130.0
4,45,6.0
77,31,16.0
77,20,2.0
77,0,800.0
77,10,64.0
77,28,4.0
77,46,50.0
77,6,4.0
77,17,26.0
77,63,64.0
77,79,136.0
77,4,270.0
77,3,74.0
77,8,36.0
77,78,52.0
77,39,2.0
77,40,2.0
77,23,4.0
19,20,20.0
19,0,30.0
19,10,10.0
19,46,70.0
19,47,12.0
47,20,34.0
47,0,32.0
47,34,10.0
47,46,60.0
47,6,2.0
47,19,12.0
25,0,2.0
25,62,4.0
8,0,30.0
8,10,10.0
8,46,6.0
8,17,6.0
8,63,66.0
8,79,8.0
8,4,154.0
8,3,2.0
8,77,36.0
8,78,2.0
3,0,130.0
3,10,16.0
3,46,10.0
3,17,6.0
3,63,34.0
3,79,16.0
3,4,146.0
3,77,74.0
3,78,12.0
3,8,2.0
79,0,202.0
79,10,14.0
79,46,18.0
79,17,20.0
79,63,26.0
79,4,214.0
79,77,136.0
79,3,16.0
79,45,2.0
79,8,8.0
79,78,40.0
78,0,34.0
78,10,18.0
78,46,10.0
78,63,4.0
78,79,40.0
78,4,130.0
78,3,12.0
78,8,2.0
78,77,52.0
5,46,4.0
61,62,2.0
45,79,2.0
45,4,6.0
39,77,2.0
40,77,2.0
23,77,4.0
