source,target,weight
20,0,2.0
20,10,1.0
20,46,9.0
20,6,2.0
0,62,7.0
0,31,9.0
0,72,3.0
0,63,6.0
0,17,3.0
0,46,10.0
0,10,2.0
0,6,2.0
0,77,16.0
0,1,1.0
0,47,1.0
0,79,14.0
0,4,11.0
0,78,3.0
62,0,5.0
62,6,7.0
62,63,1.0
6,62,3.0
6,46,2.0
6,20,2.0
6,4,1.0
72,31,1.0
31,72,2.0
17,0,2.0
17,10,1.0
17,4,1.0
17,79,1.0
17,77,1.0
46,0,16.0
46,4,1.0
46,17,1.0
46,5,1.0
46,34,20.0
46,20,23.0
46,63,1.0
46,6,3.0
46,19,5.0
46,10,1.0
46,77,1.0
4,46,6.0
4,10,14.0
4,8,36.0
4,63,56.0
4,79,42.0
4,78,29.0
4,0,15.0
4,6,1.0
4,77,13.0
34,0,2.0
34,46,10.0
34,20,2.0
10,0,2.0
10,20,1.0
10,46,3.0
10,63,3.0
10,77,1.0
10,4,11.0
19,46,1.0
47,0,1.0
79,0,11.0
79,8,1.0
79,77,7.0
79,4,2.0
79,45,1.0
77,0,11.0
77,4,3.0
77,79,9.0
77,78,5.0
77,17,2.0
63,0,9.0
63,4,24.0
63,8,22.0
63,17,2.0
63,10,1.0
78,0,3.0
78,77,5.0
8,77,1.0
8,79,1.0
8,78,1.0
8,63,3.0
8,4,1.0
