source,target,weight
20,72,1.4718907878542966
20,0,146.48871147185974
20,17,1.9541946851804504
20,46,52.41542489129299
20,6,11.189980772022185
20,10,2.749208956032412e-47
20,34,19.231220126166292
20,47,4.2751308765091854e-11
20,19,8.522752511417766
20,4,3.884401310981321
72,20,1.4718907878542966
72,0,1.6108100922292117
72,62,1.9936335152487377
72,6,0.3482509582009743
72,31,24.396148410259418
72,32,3.1022901246476278
72,17,1.0411514823496917e-55
72,46,1.9884680688821497
0,20,146.48871147185974
0,72,1.6108100922292117
0,62,110.63568215637716
0,31,87.4928412052049
0,6,17.916863444009113
0,17,31.909039867209433
0,46,108.28566180428163
0,4,74.68020018394428
0,34,21.21583576117662
0,10,7.648870679599373
0,47,3.921336550208764
0,19,9.478859189768194
0,77,143.86893962307624
0,63,36.78385701931163
0,79,39.60362000556851
0,78,4.168192517687952
0,8,5.039089524891369
0,3,40.233503073187194
17,20,1.9541946851804504
17,72,1.0411514823496917e-55
17,0,31.909039867209433
17,62,2.0440160750523615e-11
17,31,1.9919671081594792
17,46,3.9891512529931896
17,34,1.932318741200032
17,19,1.9949718511917007
17,10,0.005198135524646689
17,79,3.4232534003724275
17,77,2.030860034804971
17,63,5.475362028632192
17,4,1.955879352829372
17,3,3.9017097791624473
46,20,52.41542489129299
46,72,1.9884680688821497
46,0,108.28566180428163
46,17,3.9891512529931896
46,5,1.6849252763164941
46,6,8.44034554937433
46,32,6.351809196243757e-242
46,4,11.14361450081259
46,34,22.87908218524265
46,47,8.185966986816576
46,19,9.986878402609689
46,10,1.9924832264830272
46,63,2.502265323683038e-28
46,8,6.365734691728709
46,77,68.7700387536551
46,78,2.671383129971277
46,79,9.073983739097885
46,3,79.498627826695
46,104,5.9940834318495675
46,88,8.812252053404441e-45
46,103,0.4233027319838016
46,45,2.0865136868525517e-08
6,20,11.189980772022185
6,72,0.3482509582009743
6,0,17.916863444009113
6,31,1.9785274621859528
6,46,8.44034554937433
6,62,14.561112546426418
6,10,2.1040994949228866e-08
6,47,1.9914724997860616
6,34,3.982959139787628
6,19,3.982829500147723
6,4,7.967436422579929
10,20,2.749208956032412e-47
10,0,7.648870679599373
10,17,0.005198135524646689
10,46,1.9924832264830272
10,6,2.1040994949228866e-08
10,4,138.12420680755096
10,77,2.8923901942531585e-06
10,63,5.033598115704183
10,79,3.350364229766643
10,78,1.9784565399097167
10,8,1.4060175022405081
34,20,19.231220126166292
34,0,21.21583576117662
34,17,1.932318741200032
34,46,22.87908218524265
34,6,3.982959139787628
34,19,2.455080463173572e-184
47,20,4.2751308765091854e-11
47,0,3.921336550208764
47,46,8.185966986816576
47,6,1.9914724997860616
19,20,8.522752511417766
19,0,9.478859189768194
19,17,1.9949718511917007
19,46,9.986878402609689
19,6,3.982829500147723
19,34,2.455080463173572e-184
4,20,3.884401310981321
4,0,74.68020018394428
4,17,1.955879352829372
4,46,11.14361450081259
4,6,7.967436422579929
4,10,138.12420680755096
4,77,30.355985414218168
4,79,30.890259939642696
4,78,6.4750201850127205
4,63,52.36699732313461
4,8,0.5874461205098247
4,3,4.760613957921033
62,72,1.9936335152487377
62,0,110.63568215637716
62,17,2.0440160750523615e-11
62,31,65.40623174305804
62,6,14.561112546426418
31,72,24.396148410259418
31,0,87.4928412052049
31,17,1.9919671081594792
31,62,65.40623174305804
31,6,1.9785274621859528
31,32,1.5931422541818652
32,72,3.1022901246476278
32,31,1.5931422541818652
32,46,6.351809196243757e-242
77,0,143.86893962307624
77,17,2.030860034804971
77,46,68.7700387536551
77,10,2.8923901942531585e-06
77,4,30.355985414218168
77,3,59.5925713827398
77,79,74.97365783590179
77,63,6.130793624409166
77,78,5.972539831962081
77,8,23.792364068992033
63,0,36.78385701931163
63,17,5.475362028632192
63,46,2.502265323683038e-28
63,10,5.033598115704183
63,4,52.36699732313461
63,79,1.9939484833116512
63,77,6.130793624409166
63,78,1.985143367243128
63,8,3.9674974733085486
79,0,39.60362000556851
79,17,3.4232534003724275
79,46,9.073983739097885
79,10,3.350364229766643
79,4,30.890259939642696
79,3,7.946112083860251
79,77,74.97365783590179
79,63,1.9939484833116512
79,78,7.657415102697481
79,101,0.5424828023751839
79,8,1.9920993556909443
78,0,4.168192517687952
78,46,2.671383129971277
78,10,1.9784565399097167
78,4,6.4750201850127205
78,79,7.657415102697481
78,77,5.972539831962081
78,63,1.985143367243128
8,0,5.039089524891369
8,46,6.365734691728709
8,10,1.4060175022405081
8,4,0.5874461205098247
8,3,3.8630324525924755
8,79,1.9920993556909443
8,77,23.792364068992033
8,63,3.9674974733085486
3,0,40.233503073187194
3,17,3.9017097791624473
3,5,0.17679935441411676
3,46,79.498627826695
3,4,4.760613957921033
3,77,59.5925713827398
3,79,7.946112083860251
3,8,3.8630324525924755
3,101,6.84316175781699e-11
3,88,6.134926576948198e-10
3,103,4.046635783327469e-183
3,45,0.0034014448228705764
5,46,1.6849252763164941
5,3,0.17679935441411676
104,46,5.9940834318495675
88,46,8.812252053404441e-45
88,3,6.134926576948198e-10
103,46,0.4233027319838016
103,3,4.046635783327469e-183
45,46,2.0865136868525517e-08
45,3,0.0034014448228705764
101,3,6.84316175781699e-11
101,79,0.5424828023751839
