source,target,weight
72,31,0.0
72,1,0.55
72,11,0.55
72,29,0.3787878788
20,0,0.63125
20,29,0.7954166667
20,30,0.7
20,31,0.0
0,20,0.5
0,29,0.5
0,30,0.0
0,17,1.2
0,1,1.0
0,31,0.0416666667
0,10,2.2333333333
0,63,0.25
0,77,1.7046428572
0,4,3.3338095238000003
0,8,0.8541666667000001
0,3,0.5725000000000001
0,79,0.9891666667000001
6,10,-0.125
6,77,-0.125
17,0,0.2166666667
17,3,0.32878787880000004
17,8,0.32878787880000004
17,79,0.32878787880000004
17,10,0.1121212121
4,46,0.0
4,0,0.3902972028
4,10,0.0
4,6,0.0
4,8,0.1346153846
4,63,0.2556818182
4,79,0.1346153846
4,3,0.1346153846
4,77,0.2556818182
10,0,0.6875
10,17,-0.1729166667
10,63,0.0
10,3,0.0
10,77,0.8875
10,4,-0.11249999999999999
10,6,0.2
77,0,0.07108585860000008
77,31,-0.3125
77,39,0.05
77,40,0.05
77,28,0.05
77,78,0.0833333333
77,63,0.0
77,3,0.380952381
77,8,0.45
77,10,0.2735858586
77,17,0.0583333333
77,79,0.25
77,4,1.06
77,6,-0.0857142857
63,77,0.5625
63,0,0.3625
63,3,0.5625
63,4,-0.2
79,0,-0.0777777778
79,77,0.0
79,4,0.1722222222
79,3,0.25
