source,target,weight
72,31,10.811367965799995
72,1,1.1
72,11,2.2033333334000003
72,29,1.0909090909999999
72,20,0.7
72,32,1.2
72,0,3.3332900431999994
72,10,0.87
72,34,-0.0611688312
72,28,0.0
72,30,0.6636363638
72,46,2.2727272727999996
72,62,1.1823809524
72,6,0.25
72,74,1.25
72,37,0.4545454546
72,63,1.26
31,72,10.811367965799995
31,20,0.9393939393999999
31,0,27.143404905199993
31,29,4.4903024706
31,62,5.5248340548
31,11,2.5664329056000006
31,28,2.3543116934
31,6,2.4754545454000003
31,30,3.2856060606
31,32,1.9854545454
31,46,1.5545454546
31,34,-0.7272727271999999
31,35,0.10227272720000001
31,74,0.025
31,4,3.9196548819999997
31,10,0.0
31,77,2.3596969698000003
31,63,1.735
1,72,1.1
1,0,2.3875
11,72,2.2033333334000003
11,31,2.5664329056000006
11,0,2.7333333334
11,62,0.6166666666
29,72,1.0909090909999999
29,31,4.4903024706
29,20,2.1380555556
29,0,5.9009307359999985
29,62,0.46349206339999993
29,6,0.4
20,72,0.7
20,31,0.9393939393999999
20,29,2.1380555556
20,0,29.76455880239999
20,30,1.725
20,17,0.9159090910000001
20,32,0.1666666666
20,34,5.365861111000001
20,46,30.9650218696
20,19,2.4983333334000006
20,6,2.6994444444
20,10,2.3042424242
20,47,2.5906355605999996
20,4,1.8238095237999998
20,77,0.0
20,63,0.0
32,72,1.2
32,31,1.9854545454
32,20,0.1666666666
32,0,4.0251924002
32,62,1.7252380952
32,6,0.0
0,72,3.3332900431999994
0,31,27.143404905199993
0,1,2.3875
0,11,2.7333333334
0,29,5.9009307359999985
0,20,29.76455880239999
0,32,4.0251924002
0,30,1.9666666666
0,17,24.776601731800003
0,10,34.7023008242
0,37,2.3333333333999997
0,62,14.3686856658
0,25,0.4
0,63,36.983319828400006
0,6,14.380734126800002
0,46,53.44573985179998
0,69,0.8666666665999999
0,34,10.844426406999997
0,4,67.19879429520003
0,77,62.81424338500003
0,8,4.3261904764
0,3,5.6887554112
0,19,5.508261183400001
0,47,3.6928974656
0,79,22.6428852716
0,78,4.314569161
10,72,0.87
10,31,0.0
10,20,2.3042424242
10,0,34.7023008242
10,17,-0.12159090920000001
10,46,3.0250000000000004
10,6,0.15000000000000002
10,19,2.0242424242
10,63,2.6961396935999993
10,3,0.5666666666
10,77,4.9839141416
10,4,20.64189597499999
10,79,3.5
10,78,4.0
10,8,0.0
34,72,-0.0611688312
34,31,-0.7272727271999999
34,20,5.365861111000001
34,0,10.844426406999997
34,17,0.0
34,46,18.963374655399996
34,6,0.6875
34,47,0.8080952379999999
28,72,0.0
28,31,2.3543116934
28,77,0.6
30,72,0.6636363638
30,31,3.2856060606
30,20,1.725
30,0,1.9666666666
30,6,1.0
46,72,2.2727272727999996
46,31,1.5545454546
46,20,30.9650218696
46,0,53.44573985179998
46,10,3.0250000000000004
46,34,18.963374655399996
46,17,1.3409090909999999
46,62,0.2
46,63,1.2508333334000001
46,6,3.4447972859999996
46,4,2.4036564628
46,5,1.0555555555999998
46,19,7.82748557
46,47,6.9535400708
46,77,-0.25563840919999986
46,79,0.0
62,72,1.1823809524
62,31,5.5248340548
62,11,0.6166666666
62,29,0.46349206339999993
62,32,1.7252380952
62,0,14.3686856658
62,46,0.2
62,25,0.5
62,6,4.4074001922
62,63,0.85
6,72,0.25
6,31,2.4754545454000003
6,29,0.4
6,20,2.6994444444
6,32,0.0
6,0,14.380734126800002
6,10,0.15000000000000002
6,34,0.6875
6,30,1.0
6,46,3.4447972859999996
6,62,4.4074001922
6,47,0.3612903226
6,4,2.007012987
6,77,-0.4214285714
74,72,1.25
74,31,0.025
