source,target,weight
72,31,16.0
72,1,16.0
72,11,20.0
72,29,28.0
72,20,4.0
72,32,8.0
72,0,16.0
72,10,8.0
72,34,4.0
72,28,4.0
72,30,8.0
31,72,16.0
31,20,12.0
31,0,372.0
31,29,40.0
31,62,92.0
31,11,24.0
31,28,12.0
31,6,16.0
31,30,4.0
31,4,52.0
31,10,16.0
31,77,48.0
31,63,16.0
1,72,16.0
1,0,12.0
11,72,20.0
11,31,24.0
11,0,32.0
11,62,24.0
29,72,28.0
29,31,40.0
29,20,64.0
29,0,48.0
29,62,12.0
20,72,4.0
20,31,12.0
20,29,64.0
20,0,772.0
20,30,16.0
20,17,24.0
20,32,16.0
20,34,64.0
20,46,848.0
20,19,48.0
20,6,96.0
20,10,96.0
20,47,32.0
32,72,8.0
32,20,16.0
32,0,72.0
32,62,32.0
0,72,16.0
0,31,372.0
0,1,12.0
0,11,32.0
0,29,48.0
0,20,772.0
0,32,72.0
0,30,32.0
0,17,464.0
0,10,512.0
0,37,24.0
0,62,424.0
0,25,8.0
0,63,608.0
0,6,188.0
0,46,1208.0
0,69,48.0
0,34,244.0
0,4,1332.0
0,77,1228.0
0,8,80.0
0,3,248.0
0,19,52.0
0,47,20.0
0,79,548.0
0,78,68.0
10,72,8.0
10,31,16.0
10,20,96.0
10,0,512.0
10,17,48.0
10,46,36.0
10,6,28.0
10,19,40.0
10,63,72.0
10,3,12.0
10,77,140.0
10,4,1352.0
10,79,16.0
10,78,24.0
34,72,4.0
34,20,64.0
34,0,244.0
34,17,12.0
34,46,300.0
34,6,12.0
28,72,4.0
28,31,12.0
28,77,12.0
30,72,8.0
30,31,4.0
30,20,16.0
30,0,32.0
30,6,8.0
62,31,92.0
62,11,24.0
62,29,12.0
62,32,32.0
62,0,424.0
62,25,8.0
62,6,92.0
62,63,4.0
6,31,16.0
6,20,96.0
6,0,188.0
6,10,28.0
6,34,12.0
6,30,8.0
6,46,52.0
6,62,92.0
6,4,52.0
6,77,12.0
4,31,52.0
4,0,1332.0
4,10,1352.0
4,46,72.0
4,6,52.0
4,17,16.0
4,69,16.0
4,63,868.0
4,79,340.0
4,77,400.0
4,8,176.0
4,3,172.0
4,78,132.0
77,31,48.0
77,0,1228.0
77,10,140.0
77,28,12.0
77,46,48.0
77,6,12.0
77,17,56.0
77,63,132.0
77,79,168.0
77,4,400.0
77,3,176.0
77,8,104.0
77,78,60.0
77,39,4.0
77,40,8.0
77,23,24.0
63,31,16.0
63,0,608.0
63,10,72.0
63,46,16.0
63,62,4.0
63,17,24.0
63,77,132.0
63,3,132.0
63,4,868.0
63,78,12.0
63,79,84.0
63,8,140.0
17,20,24.0
17,0,464.0
17,10,48.0
17,34,12.0
17,46,32.0
17,63,24.0
17,77,56.0
17,3,12.0
17,8,12.0
17,79,40.0
17,4,16.0
46,20,848.0
46,0,1208.0
46,10,36.0
46,34,300.0
46,17,32.0
46,63,16.0
46,6,52.0
46,4,72.0
46,5,4.0
46,19,112.0
46,47,32.0
46,77,48.0
46,79,8.0
19,20,48.0
19,0,52.0
19,10,40.0
19,46,112.0
47,20,32.0
47,0,20.0
47,46,32.0
37,0,24.0
25,0,8.0
25,62,8.0
69,0,48.0
69,4,16.0
8,0,80.0
8,17,12.0
8,63,140.0
8,79,8.0
8,4,176.0
8,3,8.0
8,77,104.0
8,78,4.0
3,0,248.0
3,10,12.0
3,17,12.0
3,63,132.0
3,79,24.0
3,4,172.0
3,77,176.0
3,78,8.0
3,8,8.0
79,0,548.0
79,10,16.0
79,46,8.0
79,17,40.0
79,63,84.0
79,4,340.0
79,77,168.0
79,3,24.0
79,45,4.0
79,8,8.0
79,78,28.0
78,0,68.0
78,10,24.0
78,63,12.0
78,79,28.0
78,4,132.0
78,3,8.0
78,8,4.0
78,77,60.0
5,46,4.0
45,79,4.0
39,77,4.0
40,77,8.0
23,77,24.0
